file_name,match_type,data,teamA,teamB,who_played_first,who_played_second,neutral_venue,city,home_ground_of_team,venue,winner,winner_by_runs,winner_by_wickets,toss_winner,toss_winner_decided_to,umpire_1,umpire_2,player_of_match
2008-06-30_ODIBanSri.yaml,ODI,2008-06-30,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,yes,Karachi,none,National Stadium,Sri Lanka,158,NA,Sri Lanka,bat,BG Jerling,SJA Taufel,ST Jayasuriya
2008-07-02_ODIPakInd.yaml,ODI,2008-07-02,Pakistan,India,India,Pakistan,no,Karachi,Pakistan,National Stadium,Pakistan,NA,8,India,bat,IJ Gould,AL Hill,Younis Khan
2008-07-03_ODIIndSri.yaml,ODI,2008-07-03,India,Sri Lanka,Sri Lanka,India,yes,Karachi,none,National Stadium,India,NA,6,Sri Lanka,bat,BG Jerling,SJA Taufel,MS Dhoni
2008-07-04_ODIPakBan.yaml,ODI,2008-07-04,Pakistan,Bangladesh,Bangladesh,Pakistan,no,Karachi,Pakistan,National Stadium,Pakistan,NA,10,Bangladesh,bat,IJ Gould,AL Hill,Abdur Rauf
2008-07-04_ODIWesAus.yaml,ODI,2008-07-04,West Indies,Australia,Australia,West Indies,no,St Kitts,West Indies,Warner Park- Basseterre,Australia,1,NA,West Indies,field,Asad Rauf,SA Bucknor,A Symonds
2008-07-06_ODIIndSri.yaml,ODI,2008-07-06,India,Sri Lanka,Sri Lanka,India,yes,Karachi,none,National Stadium,Sri Lanka,100,NA,India,field,AL Hill,SJA Taufel,BAW Mendis
2008-07-06_ODIWesAus.yaml,ODI,2008-07-06,West Indies,Australia,Australia,West Indies,no,St Kitts,West Indies,Warner Park- Basseterre,Australia,169,NA,Australia,bat,Asad Rauf,SA Bucknor,L Ronchi
2008-07-29_ODINetSco.yaml,ODI,2008-07-29,Netherlands,Scotland,Netherlands,Scotland,yes,Dublin,none,Clontarf Cricket Club Ground,Scotland,NA,6,Netherlands,bat,PK Baldwin,BF Bowden,NA
2008-07-31_ODIIreSco.yaml,ODI,2008-07-31,Ireland,Scotland,Scotland,Ireland,no,Dublin,Ireland,Clontarf Cricket Club Ground,Ireland,NA,7,Ireland,field,PK Baldwin,BF Bowden,NA
2008-08-12_ODIScoKen.yaml,ODI,2008-08-12,Scotland,Kenya,Kenya,Scotland,no,Ayr,Scotland,Cambusdoon New Ground,no result,NA,NA,Scotland,field,PK Baldwin,SJA Taufel,NA
2008-08-18_ODISriInd.yaml,ODI,2008-08-18,Sri Lanka,India,India,Sri Lanka,no,NA,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,NA,8,India,bat,EAR de Silva,BR Doctrove,BAW Mendis
2008-08-20_ODISriInd.yaml,ODI,2008-08-20,Sri Lanka,India,Sri Lanka,India,no,NA,Sri Lanka,Rangiri Dambulla International Stadium,India,NA,3,India,field,BR Doctrove,MG Silva,Z Khan
